Ticker,Sector,Industry,Company_Type,Current_Price,DCF_Price,Technical_Price,Comparable_Price,Startup_Price,Equity Value,RSI 14,Current_Multiples,Technical Trend on MA,MA_20,MA_50,MA_200,Relative_Valuation,Last_Close,Market_Cap,PE_Ratio,Revenue_Growth,Quality_Score,Quality_Grade,Growth_Quality,Median_Growth,Current_Revenue,Implied_Value_Estimate,Key_Risks,Recommendation,Confidence,Signal-Bullish,Signal-Bearish,Signal-Neutral,Signal-DCF,Signal-Startup,Signal-Technical,Signal-Comparable,Risk_Level,Investment_Thesis,Data_Quality,Next_Steps,Errors
AAPL,Technology,Consumer Electronics,mature_profitable,$254.43,$228.52,$337.48,$149.50,$0.00,"$3,391,337,283,637",72.32485896886608,"{'pe': 38.608498, 'ps': 9.2403555, 'pb': 57.42044}",Strong Uptrend,237.1504997253418,225.65240325927735,221.36767837524414,Overvalued,$0.00,"$3,775,840,124,928",38.608498,0.096,34,D,,0,$0,$0,['Weak financial health'],SELL,Medium,"['Technical: Strong Uptrend', 'Strong volume supporting uptrend']","['DCF shows -10% downside', 'Trading above peer multiples', 'Poor quality metrics']",[],Sell,,Buy,Sell,Medium,Stable dividend-paying company. DCF suggests Sell with D quality metrics.,High,['Monitor for fundamental changes before reconsidering'],[]
AACB,Financial Services,Shell Companies,financial,$10.15,$0.00,$10.29,$0.00,$0.00,$0,62.76013743334725,"{'pe': None, 'ps': None, 'pb': -23.015871}",Short-term Uptrend,10.135600042343139,10.132140045166016,,Fair,$0.00,"$280,901,248",,,3,D,,0,$0,$0,"['Weak financial health', 'Limited financial data availability']",HOLD,Low,['Technical: Short-term Uptrend'],['Poor quality metrics'],"['DCF suggests fair valuation', 'Fair valuation vs peers']",Hold,,Buy,Hold,Medium,Financial company requiring careful timing. Current signals: hold.,Low,"['Monitor for catalysts that could change thesis', 'Review position at next earnings announcement', 'Seek additional data sources beyond yFinance']",['dcf_analysis():FCF and EBITDA Data Unavailable']
AACBR,,,startup_loss_making,$0.23,$0.00,$0.23,$0.00,$0.00,$0,,,Insufficient Moving Averages Data,,,,N/A,$0.00,$0,,,3,D,Unknown,0.0%,$0,$0,"['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,[],"['Critical cash runway or poor growth', 'Poor quality metrics']",['Technical: Insufficient Moving Averages Data'],,Avoid,Neutral,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
AACBU,Financial Services,Shell Companies,financial,$10.30,$0.00,$10.02,$0.00,$0.00,$0,44.19853664616844,"{'pe': None, 'ps': None, 'pb': -23.356009}",Short-term Downtrend,10.331000137329102,10.348200149536133,,Fair,$0.00,"$259,302,512",,,3,D,,0,$0,$0,"['Weak financial health', 'Limited financial data availability']",SELL,Medium,[],"['Technical: Short-term Downtrend', 'Poor quality metrics']","['DCF suggests fair valuation', 'Fair valuation vs peers']",Hold,,Sell,Hold,Medium,Financial company requiring careful timing. Current signals: sell.,Low,"['Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",['dcf_analysis():FCF and EBITDA Data Unavailable']
AACG,Consumer Defensive,Education & Training Services,startup_loss_making,$2.04,$0.00,$4.48,$0.00,$16.61,$0,48.36035680466439,,Strong Uptrend,2.192500001192093,1.7664000010490417,1.1103999990224838,N/A,$0.00,"$64,513,980",,0.08,5,D,Weak (<15%),7.2%,"$268,060,162","$536,120,324","['Bankruptcy risk', 'High risk: <2 years cash runway', 'Weak financial health']",AVOID,High,['Technical: Strong Uptrend'],"['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Medium,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering']",[]
AACI,Financial Services,Shell Companies,financial,$10.40,$0.00,$10.73,$0.00,$0.00,$0,77.42984883399059,"{'pe': None, 'ps': None, 'pb': -38.23529}",Short-term Uptrend,10.281250047683717,10.194620037078858,,Fair,$0.00,"$410,488,000",,,5,D,,0,$0,$0,"['Weak financial health', 'Limited financial data availability']",HOLD,Low,['Technical: Short-term Uptrend'],['Poor quality metrics'],"['DCF suggests fair valuation', 'Fair valuation vs peers']",Hold,,Buy,Hold,Medium,Financial company requiring careful timing. Current signals: hold.,Low,"['Monitor for catalysts that could change thesis', 'Review position at next earnings announcement', 'Seek additional data sources beyond yFinance']",['dcf_analysis():FCF and EBITDA Data Unavailable']
AACIU,Financial Services,Shell Companies,financial,$10.55,$0.00,$11.05,$0.00,$0.00,$0,53.430831823874996,"{'pe': None, 'ps': None, 'pb': -38.786762}",Short-term Uptrend,10.580000257492065,10.424500064849854,,Fair,$0.00,$0,,,5,D,,0,$0,$0,"['Weak financial health', 'Limited financial data availability']",HOLD,Low,['Technical: Short-term Uptrend'],['Poor quality metrics'],"['DCF suggests fair valuation', 'Fair valuation vs peers']",Hold,,Buy,Hold,Medium,Financial company requiring careful timing. Current signals: hold.,Low,"['Monitor for catalysts that could change thesis', 'Review position at next earnings announcement', 'Seek additional data sources beyond yFinance']",['dcf_analysis():FCF and EBITDA Data Unavailable']
AACIW,Financial Services,Shell Companies,financial,$0.87,$0.00,$0.87,$0.00,$0.00,$0,,"{'pe': None, 'ps': None, 'pb': -3.1974263}",Insufficient Moving Averages Data,,,,Fair,$0.00,$0,,,5,D,,0,$0,$0,"['Weak financial health', 'Limited financial data availability']",HOLD,Low,[],['Poor quality metrics'],"['DCF suggests fair valuation', 'Technical: Insufficient Moving Averages Data', 'Fair valuation vs peers']",Hold,,Neutral,Hold,Medium,Financial company requiring careful timing. Current signals: hold.,Low,"['Monitor for catalysts that could change thesis', 'Review position at next earnings announcement', 'Seek additional data sources beyond yFinance']",['dcf_analysis():FCF and EBITDA Data Unavailable']
AADR,,,startup_loss_making,$0.00,$0.00,$106.18,$0.00,$0.00,$0,66.40365926108183,,Strong Uptrend,83.86495056152344,81.68215515136718,76.22067939758301,N/A,$0.00,$0,16.183935,,20,D,Unknown,0.0%,$0,$0,"['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,['Technical: Strong Uptrend'],"['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
AAL,Industrials,Airlines,cyclical,$12.19,$0.00,$13.11,$80.18,$0.00,$0,40.73455584204555,"{'pe': 14.511905, 'ps': 0.14826383, 'pb': -2.0784314}",Strong Downtrend,12.851499843597413,12.477799930572509,13.10959997177124,Undervalued,$0.00,"$8,043,312,640",14.511905,0.004,36,D,,0,$0,$0,['Weak financial health'],SELL,Medium,['Trading below peer multiples'],"['Technical: Strong Downtrend', 'High volume selling pressure', 'Poor quality metrics']",[],,,Sell,Buy,Medium,Cyclical company requiring careful timing. Current signals: sell.,Medium,['Monitor for fundamental changes before reconsidering'],[]
