Symbol,Company,
WHG,Westwood Holdings Group Inc Common Stock
WHR,Whirlpool Corporation Common Stock
WIA,Western Asset Inflation
WINN,Harbor ETF Trust Harbor Long
WIT,Wipro Limited Common Stock
WIW,Western Asset Inflation
WK,Workiva Inc. Class A Common Stock
WKC,World Kinect Corporation Common Stock
WLK,Westlake Corporation Common Stock
WLKP,Westlake Chemical Partners LP Common Units representing limited partner interests
WLTG,ETF Opportunities Trust WealthTrust DBS Long Term Growth ETF
WLY,"John Wiley & Sons, Inc. Common Stock"
WLYB,"John Wiley & Sons, Inc. Common Stock"
WM,"Waste Management, Inc. Common Stock"
WMB,"Williams Companies, Inc. (The) Common Stock"
WMK,"Weis Markets, Inc. Common Stock"
WMS,"Advanced Drainage Systems, Inc. Common Stock"
WMT,Walmart Inc. Common Stock
WNC,Wabash National Corporation Common Stock
WNS,WNS (Holdings) Limited Ordinary Shares
WOLF,"Wolfspeed, Inc. Common Stock"
WOR,"Worthington Enterprises, Inc. Common Shares"
WOW,"WideOpenWest, Inc. Common Stock"
WPC,W. P. Carey Inc. REIT
WPM,Wheaton Precious Metals Corp Common Shares (Canada)
WPP,WPP plc American Depositary Shares
WRB,W.R. Berkley Corporation Common Stock
WRB$E,W.R. Berkley Corporation 5.70% Subordinated Debentures due 2058
WRB$F,W.R. Berkley Corporation 5.10% Subordinated Debentures due 2059
WRB$G,W.R. Berkley Corporation 4.25% Subordinated Debentures due 2060
WRB$H,W.R. Berkley Corporation 4.125% Subordinated Debentures due 2061
WRBY,Warby Parker Inc. Class A Common Stock
WS,"Worthington Steel, Inc. Common Shares"
WSM,Williams
WSO,"Watsco, Inc. Common Stock"
WSO.B,"Watsco, Inc. Class B Common Stock"
WSR,Whitestone REIT Common Shares
WST,"West Pharmaceutical Services, Inc. Common Stock"
WT,"WisdomTree, Inc. Common Stock"
WTI,"W&T Offshore, Inc. Common Stock"
WTM,"White Mountains Insurance Group, Ltd. Common Stock"
WTRG,"Essential Utilities, Inc. Common Stock"
WTS,"Watts Water Technologies, Inc. Class A Common Stock"
WTTR,"Select Water Solutions, Inc. Class A common stock"
WU,Western Union Company (The) Common Stock
WWW,"Wolverine World Wide, Inc. Common Stock"
WY,Weyerhaeuser Company Common Stock
XFLT,XAI Octagon Floating Rate & Alternative Income Trust Common Shares of Beneficial Interest
XFLT$A,"XAI Octagon Floating Rate & Alternative Income Trust 6.50% Series 2026 Term Preferred Shares, (Liquidation Preference $25.00)"
XHR,"Xenia Hotels & Resorts, Inc. Common Stock"
XIFR,"XPLR Infrastructure, LP Common Units representing limited partner interests"
XOM,Exxon Mobil Corporation Common Stock
XPER,Xperi Inc. Common Stock
XPEV,"XPeng Inc. American depositary shares, each representing two Class A ordinary shares"
XPO,"XPO, Inc. Common Stock"
XPOF,"Xponential Fitness, Inc. Class A Common Stock"
XPRO,Expro Group Holdings N.V. Common Stock
XYF,"X Financial American Depositary Shares, each representing six Class A Ordinary Shares"
XYL,Xylem Inc. Common Stock New
XYZ,"Block, Inc. Class A Common Stock,"
YALA,"Yalla Group Limited American Depositary Shares, each representing one Class A Ordinary Share"
YELP,Yelp Inc. Common Stock
YETI,"YETI Holdings, Inc. Common Stock"
YEXT,"Yext, Inc. Common Stock"
YMM,Full Truck Alliance Co. Ltd. American Depositary Shares (each representing 20 Class A Ordinary Shares)
YOU,"Clear Secure, Inc. Class A Common Stock"
YPF,YPF Sociedad Anonima Common Stock
YRD,"Yiren Digital Ltd. American Depositary Shares, each representing two ordinary shares"
YSG,"Yatsen Holding Limited American Depositary Shares, each representing twenty (20) Class A Ordinary Shares"
YUM,"Yum! Brands, Inc."
YUMC,"Yum China Holdings, Inc. Common Stock"
ZBH,"Zimmer Biomet Holdings, Inc. Common Stock"
ZEPP,"Zepp Health Corporation American depositary shares, each representing sixteen Class A ordinary shares"
ZETA,Zeta Global Holdings Corp. Class A Common Stock
ZGN,Ermenegildo Zegna N.V. Ordinary Shares
ZH,"Zhihu Inc. American Depositary Shares, each representing three (3) Class A Ordinary Shares"
ZIM,ZIM Integrated Shipping Services Ltd. Ordinary Shares
ZIP,"ZipRecruiter, Inc. Class A Common Stock"
ZK,ZEEKR Intelligent Technology Holding Limited American Depositary Shares (each representing ten (10) Ordinary Shares)
ZKH,"ZKH Group Limited American Depositary Shares, each representing thirty"
ZTO,"ZTO Express (Cayman) Inc. American Depositary Shares, each representing one Class A ordinary share."
ZTR,Virtus Total Return Fund Inc.
ZTS,Zoetis Inc. Class A Common Stock
ZVIA,Zevia PBC Class A Common Stock
ZWS,Zurn Elkay Water Solutions Corporation Common Stock
